Date,Exchange Rate
2003-09-30,100.492827194663
2003-10-31,101.854398515637
2003-11-30,102.1251589431
2003-12-31,102.39566072733
2004-01-31,103.20214842746
2004-02-29,102.564793736592
2004-03-31,101.534891796902
2004-04-30,101.951777372552
2004-05-31,101.333848462725
2004-06-30,100.673030115218
2004-07-31,99.7803215188691
2004-08-31,98.8490021715802
2004-09-30,98.7203378292074
2004-10-31,98.5058870039289
2004-11-30,99.0894439423534
2004-12-31,99.1036785181531
2005-01-31,98.7924643530764
2005-02-28,99.6960943930773
2005-03-31,99.1025585497878
2005-04-30,98.9641448328076
2005-05-31,98.6642135940511
2005-06-30,97.5778516248435
2005-07-31,97.7523663525805
2005-08-31,99.5794345378803
2005-09-30,102.127938661147
2005-10-31,104.104651132767
2005-11-30,103.363399927543
2005-12-31,104.73807154872
2006-01-31,104.702389715173
2006-02-28,101.372324118491
2006-03-31,102.379428922388
2006-04-30,102.448932569511
2006-05-31,102.209083735074
2006-06-30,101.062276457519
2006-07-31,100.755750195478
2006-08-31,101.056780318966
2006-09-30,101.729978234526
2006-10-31,101.56605221539
2006-11-30,102.181128806111
2006-12-31,102.914674037652
2007-01-31,102.584377843212
2007-02-28,103.308277869658
2007-03-31,103.36432357934
2007-04-30,104.21671326029
2007-05-31,104.677587947249
2007-06-30,104.966090303575
2007-07-31,105.576638167275
2007-08-31,105.51281006131
2007-09-30,105.367156871715
2007-10-31,102.744331938057
2007-11-30,103.565853527838
2007-12-31,102.913145893424
2008-01-31,103.382222915258
2008-02-29,103.057001729778
2008-03-31,100.384955794807
2008-04-30,98.9713372243438
2008-05-31,100.457489701277
2008-06-30,103.416383301873
2008-07-31,102.22495126959
2008-08-31,101.92449367792
2008-09-30,102.178989215149
2008-10-31,101.226081944004
2008-11-30,99.513774976019
2008-12-31,100.049038644306
2009-01-31,101.676214992247
2009-02-28,103.602773253632
2009-03-31,100.856378272032
2009-04-30,99.4374934764279
2009-05-31,98.2810868285598
2009-06-30,99.4910112390306
2009-07-31,100.410458277179
2009-08-31,99.520390203976
2009-09-30,98.9526931785389
2009-10-31,98.6175006318583
2009-11-30,99.7995952714911
2009-12-31,99.3544043750287
2010-01-31,98.7183065607253
2010-02-28,97.8963135679162
2010-03-31,97.4996201331571
2010-04-30,97.8894151412539
2010-05-31,96.4804677442907
2010-06-30,95.4411949315005
2010-07-31,95.9340530824383
2010-08-31,95.7387875510301
2010-09-30,96.5314646472745
2010-10-31,98.9932139229802
2010-11-30,99.733971485121
2010-12-31,99.9524589001692
2011-01-31,99.8811400669405
2011-02-28,100.017395122461
2011-03-31,100.530414576226
2011-04-30,102.668257216045
2011-05-31,101.600238856739
2011-06-30,101.565118066163
2011-07-31,100.748972196582
2011-08-31,100.786874784953
2011-09-30,99.3794126459668
2011-10-31,98.0546953774512
2011-11-30,96.4416501614852
2011-12-31,95.2642619920789
2012-01-31,96.3517716480847
2012-02-29,97.1206430804803
2012-03-31,95.8167618467971
2012-04-30,94.7321103305847
2012-05-31,93.9347270008011
2012-06-30,92.9790093927254
2012-07-31,91.8784994107105
2012-08-31,91.4385116380182
2012-09-30,91.5506971851382
2012-10-31,91.6449682870893
2012-11-30,91.7455928902571
2012-12-31,90.9085635916073
2013-01-31,90.9324516250911
2013-02-28,92.5412806585679
2013-03-31,91.5638296601003
2013-04-30,91.7066086349031
2013-05-31,93.0168006676868
2013-06-30,96.0944508004635
2013-07-31,96.2653040217274
2013-08-31,96.7409357464107
2013-09-30,96.534858927129
2013-10-31,97.1166830114299
2013-11-30,97.7674537599917
2013-12-31,97.3617608666354
2014-01-31,97.975855729622
2014-02-28,97.6720402223053
2014-03-31,97.2437407984309
2014-04-30,96.9218171317132
2014-05-31,96.8101620389647
2014-06-30,96.8954792250018
2014-07-31,96.2002190418914
2014-08-31,96.8552365516544
2014-09-30,97.8872522469425
2014-10-31,98.2603804312067
2014-11-30,97.9668010773712
2014-12-31,98.070259288043
2015-01-31,98.5421871782286
2015-02-28,100.62729239808
2015-03-31,98.8959612656073
2015-04-30,100.017007795158
2015-05-31,101.146472095423
2015-06-30,100.86449489172
2015-07-31,100.351503091926
2015-08-31,99.78189988126
2015-09-30,98.2966531157509
2015-10-31,99.5905326304143
2015-11-30,101.023155833155
2015-12-31,101.145528879937
2016-01-31,101.199062344235
2016-02-29,104.419825508109
2016-03-31,102.205746784034
2016-04-30,100.358123469969
2016-05-31,100.68037271761
2016-06-30,99.7808899854822
2016-07-31,98.9096800171517
2016-08-31,100.281080212041
2016-09-30,101.578499553927
2016-10-31,100.623189015134
2016-11-30,99.3140471752234
2016-12-31,97.8063581269551
2017-01-31,97.0372830250582
2017-02-28,95.2529803869672
2017-03-31,93.9973491722959
2017-04-30,94.3556474482799
2017-05-31,95.6561384089786
2017-06-30,96.3305107468976
2017-07-31,96.3923993151447
2017-08-31,97.0436062383582
2017-09-30,98.4623811332696
2017-10-31,98.26690460131
2017-11-30,98.0097411948125
2017-12-31,98.5389660495385
2018-01-31,99.8897370735241
2018-02-28,102.264018320988
2018-03-31,101.256509048797
2018-04-30,100.826685530576
2018-05-31,100.396167104797
2018-06-30,98.9595190727737
2018-07-31,97.2789030945558
2018-08-31,96.8119036065109
2018-09-30,97.1407211368967
2018-10-31,97.4550272796668
2018-11-30,97.9332176306264
2018-12-31,97.6608580075859
2019-01-31,98.23451752407
2019-02-28,98.3748960901039
2019-03-31,97.239105948739
2019-04-30,97.1484288132676
2019-05-31,96.6111597766335
2019-06-30,96.7594025245565
2019-07-31,96.1305429651756
2019-08-31,97.0397203489724
2019-09-30,96.2557554611789
2019-10-31,97.0809740627894
2019-11-30,97.6276029590521
2019-12-31,97.2560063431381
2020-01-31,97.673814204808
2020-02-29,98.6452903271613
2020-03-31,98.7427626678962
2020-04-30,94.267831961965
2020-05-31,94.3054159905596
2020-06-30,97.4034943432227
2020-07-31,99.0487355545947
2020-08-31,101.98795915829
2020-09-30,102.7523289605
2020-10-31,104.496561406073
2020-11-30,105.238505055472
2020-12-31,106.9012452572
2021-01-31,107.86638623108
2021-02-28,108.936825272704
2021-03-31,108.984438877277
2021-04-30,109.142370582257
2021-05-31,112.637054136143
2021-06-30,116.254016196609
2021-07-31,115.181708992407
2021-08-31,118.226649160468
2021-09-30,118.729755254917
2021-10-31,115.914816654968
2021-11-30,115.942910156464
2021-12-31,115.174187218459
2022-01-31,111.967935553998
2022-02-28,109.906956961602
2022-03-31,107.336116873391
2022-04-30,106.057300101984
2022-05-31,103.6140638711
2022-06-30,102.571506790105
2022-07-31,104.31273923166
2022-08-31,102.990171963024
2022-09-30,101.037923884393
2022-10-31,101.247076417974
2022-11-30,99.1748656055524
2022-12-31,99.1108509382131
2023-01-31,101.523470959133
2023-02-28,101.173517305053
2023-03-31,97.919330000303
2023-04-30,97.9882891973178
2023-05-31,95.0382144436755
2023-06-30,93.725993819375
2023-07-31,92.7910818568003
2023-08-31,94.2061584152827
2023-09-30,94.40214982958
2023-10-31,96.9225068684561
2023-11-30,95.9178970351414
2023-12-31,95.8065053550103
2024-01-31,95.9810146097874
2024-02-29,97.8122087624845
2024-03-31,93.7576041494104
2024-04-30,93.4480703584469
2024-05-31,94.3117090356836
2024-06-30,94.8833748272745
2024-07-31,94.499610988795
2024-08-31,94.8537739481468
2024-09-30,96.3594387993203
2024-10-31,95.4785045916523
2024-11-30,94.3416626270221
2024-12-31,92.3237397542806
2025-01-31,92.4929434975364
2025-02-28,91.9101444321245
2025-03-31,90.8030187718355
2025-04-30,92.1819075605968
2025-05-31,92.2788048412405
2025-06-30,91.451730977883
2025-07-31,90.5248964129403
2025-08-31,90.3200027658759
2025-09-30,89.8330766882605
2025-10-31,87.6706324541718
2025-11-30,86.3777240914767
2025-12-31,86.52212934362
