Date,GDP_Seasonally_Adjusted
2003-08-31,78.1299096609216
2003-09-30,78.3473506201243
2003-10-31,78.9081423431176
2003-11-30,75.2093042489586
2003-12-31,75.7521334867385
2004-01-31,78.0919804714245
2004-02-29,78.9393238783818
2004-03-31,79.8571770952032
2004-04-30,80.3320593433007
2004-05-31,80.2772246303401
2004-06-30,80.1429365509057
2004-07-31,80.5521198262066
2004-08-31,81.0672958196555
2004-09-30,81.9775661948105
2004-10-31,81.847518289263
2004-11-30,81.5271694080385
2004-12-31,82.7227971483994
2005-01-31,83.076185978987
2005-02-28,84.7443785929493
2005-03-31,82.4383166663078
2005-04-30,84.5379693056899
2005-05-31,85.4047286850945
2005-06-30,85.2863565757417
2005-07-31,85.9444109656823
2005-08-31,85.6791195518041
2005-09-30,86.5245707615074
2005-10-31,87.1234289716052
2005-11-30,89.0875532678117
2005-12-31,87.9121131862351
2006-01-31,89.6057266309361
2006-02-28,89.9481239292913
2006-03-31,91.6266066789985
2006-04-30,90.8316629786575
2006-05-31,90.9746543165763
2006-06-30,91.8803909655891
2006-07-31,91.5394183789024
2006-08-31,93.2506012930156
2006-09-30,92.6041150857929
2006-10-31,93.6013059043123
2006-11-30,93.6957748663498
2006-12-31,94.6343467920095
2007-01-31,96.1704480882607
2007-02-28,96.2881263161898
2007-03-31,97.8314819751364
2007-04-30,97.4418401983132
2007-05-31,100.527037479075
2007-06-30,99.5749215128561
2007-07-31,100.210927651919
2007-08-31,100.651163150322
2007-09-30,100.978217436819
2007-10-31,102.132121038679
2007-11-30,103.674025022899
2007-12-31,104.519690129532
2008-01-31,105.308133148231
2008-02-29,107.402329433869
2008-03-31,107.343803572593
2008-04-30,109.026491768101
2008-05-31,108.101418541177
2008-06-30,110.014931554907
2008-07-31,110.063367230517
2008-08-31,109.691103459051
2008-09-30,110.7426674467
2008-10-31,110.43730592219
2008-11-30,110.531973336922
2008-12-31,109.37708933771
2009-01-31,110.369635699562
2009-02-28,109.706950954861
2009-03-31,108.478546892175
2009-04-30,109.378452114632
2009-05-31,110.800279504928
2009-06-30,107.023017551328
2009-07-31,108.611652967622
2009-08-31,110.61198960687
2009-09-30,110.928968872368
2009-10-31,112.091018593256
2009-11-30,113.168139880958
2009-12-31,113.798278152966
2010-01-31,114.066790233887
2010-02-28,115.262996368135
2010-03-31,116.784441379103
2010-04-30,118.008785407794
2010-05-31,119.065058648937
2010-06-30,121.016451371327
2010-07-31,119.833063860523
2010-08-31,120.236261309806
2010-09-30,122.041985141625
2010-10-31,122.970312003998
2010-11-30,123.231676736611
2010-12-31,122.028484466777
2011-01-31,124.493209014376
2011-02-28,124.455705720215
2011-03-31,125.546888198792
2011-04-30,127.139478536761
2011-05-31,125.646771654151
2011-06-30,125.014390601825
2011-07-31,127.592427623666
2011-08-31,127.581692990738
2011-09-30,127.987491099409
2011-10-31,128.017422006078
2011-11-30,129.133455224779
2011-12-31,132.606320528935
2012-01-31,130.800040238765
2012-02-29,130.806109695367
2012-03-31,133.194077246808
2012-04-30,131.283680272894
2012-05-31,134.733309625153
2012-06-30,135.183577772318
2012-07-31,135.719791317355
2012-08-31,136.461298836738
2012-09-30,137.375666612532
2012-10-31,136.934161246795
2012-11-30,136.929107520625
2012-12-31,137.212652262184
2013-01-31,139.220843976578
2013-02-28,139.692313609953
2013-03-31,140.50289174793
2013-04-30,140.16300659789
2013-05-31,140.945792615766
2013-06-30,143.524738092231
2013-07-31,143.141670387105
2013-08-31,144.36168867002
2013-09-30,143.569144187173
2013-10-31,145.182901874133
2013-11-30,147.221241795513
2013-12-31,145.966015714236
2014-01-31,145.063403185515
2014-02-28,146.775450836488
2014-03-31,145.81001242282
2014-04-30,146.393851050839
2014-05-31,145.456142971842
2014-06-30,144.094980905035
2014-07-31,145.887131294091
2014-08-31,146.335649193581
2014-09-30,146.888629947313
2014-10-31,148.317666345584
2014-11-30,147.497318721597
2014-12-31,146.632069731315
2015-01-31,147.756580366387
2015-02-28,148.530397765917
2015-03-31,149.7342466296
2015-04-30,152.471072114303
2015-05-31,148.001598467745
2015-06-30,150.273069169179
2015-07-31,151.302115642306
2015-08-31,150.176590820722
2015-09-30,151.412928336185
2015-10-31,153.589302916454
2015-11-30,152.919012481337
2015-12-31,155.572579637414
2016-01-31,153.366711603022
2016-02-29,155.387714816724
2016-03-31,157.356675631232
2016-04-30,154.904926413332
2016-05-31,154.278866546778
2016-06-30,155.820144927354
2016-07-31,157.861774636052
2016-08-31,158.159984471911
2016-09-30,157.982713988178
2016-10-31,156.937610169725
2016-11-30,158.314862252382
2016-12-31,160.504522776752
2017-01-31,159.998577212189
2017-02-28,159.533281818095
2017-03-31,157.127308110684
2017-04-30,158.607742719969
2017-05-31,159.641027378146
2017-06-30,162.15553345217
2017-07-31,161.172272080632
2017-08-31,162.512303480914
2017-09-30,163.540799118914
2017-10-31,162.00215700662
2017-11-30,161.436631654669
2017-12-31,163.478734704822
2018-01-31,164.625418244199
2018-02-28,164.070012767263
2018-03-31,166.034039946672
2018-04-30,169.076280896417
2018-05-31,170.022336280805
2018-06-30,166.22905507239
2018-07-31,164.593299953497
2018-08-31,166.14976409944
2018-09-30,167.812673970688
2018-10-31,168.33848482974
2018-11-30,169.283093968319
2018-12-31,170.369015603978
2019-01-31,167.455150049253
2019-02-28,167.622825256679
2019-03-31,170.550610142393
2019-04-30,171.118899847166
2019-05-31,171.236230492186
2019-06-30,171.154930782561
2019-07-31,171.000914876569
2019-08-31,172.591278721415
2019-09-30,171.356941113398
2019-10-31,172.556453223271
2019-11-30,173.371584793124
2019-12-31,171.679404272136
2020-01-31,172.934195324644
2020-02-29,172.727214614625
2020-03-31,140.503002958334
2020-04-30,104.35718010835
2020-05-31,116.059228900362
2020-06-30,139.909969593455
2020-07-31,152.557843942335
2020-08-31,156.547130692248
2020-09-30,160.51936835531
2020-10-31,167.169520946249
2020-11-30,168.922807960474
2020-12-31,173.167361490965
2021-01-31,172.164051017993
2021-02-28,168.443418980469
2021-03-31,168.376723986983
2021-04-30,167.468461228883
2021-05-31,172.19857746939
2021-06-30,172.77746476187
2021-07-31,173.528789522653
2021-08-31,175.086278301496
2021-09-30,176.126159187722
2021-10-31,175.486747211402
2021-11-30,175.014762741503
2021-12-31,176.059915194989
2022-01-31,176.982265321709
2022-02-28,176.682047622781
2022-03-31,175.30164255593
2022-04-30,175.022055260789
2022-05-31,176.251895332725
2022-06-30,179.317052729016
2022-07-31,177.733174304011
2022-08-31,177.408945016816
2022-09-30,179.495469139942
2022-10-31,179.405617502151
2022-11-30,178.521843716054
2022-12-31,179.023255014478
2023-01-31,175.538186117904
2023-02-28,176.209312526868
2023-03-31,176.968791266741
2023-04-30,176.687425034042
2023-05-31,174.205884177575
2023-06-30,178.389612909719
2023-07-31,175.55607284978
2023-08-31,177.273544890054
2023-09-30,178.226772279038
2023-10-31,177.708044328767
2023-11-30,179.544540628351
2023-12-31,177.94208243702
2024-01-31,178.791698564371
2024-02-29,178.714605943273
2024-03-31,180.331867541023
2024-04-30,182.273289709686
2024-05-31,183.960512446356
2024-06-30,180.151783846905
2024-07-31,183.142003459551
2024-08-31,185.173621902032
2024-09-30,184.332772760658
2024-10-31,184.553940301195
2024-11-30,187.895068452118
2024-12-31,186.365603465107
2025-01-31,186.649010773463
2025-02-28,187.186990155126
2025-03-31,186.174264324815
2025-04-30,187.781277400429
2025-05-31,188.71190559638
2025-06-30,188.095716161878
2025-07-31,190.23645687057
2025-08-31,191.1008183768
2025-09-30,191.867834864242
2025-10-31,192.028747319219
2025-11-30,190.919048081582
2025-12-31,193.429031752229
