Date,Inflation,GDP,Exchange Rate,Interest,Liquidity
2003-09-30,0.558598319929901,73.8678353680876,100.492827194663,2.75,18669.57190545
2003-10-31,0.0490321174092103,77.5989135108107,101.854398515637,2.75,18795.62399559
2003-11-30,0.167684500456277,75.5725386288336,102.1251589431,2.5,19113.29552166
2003-12-31,0.563950788732549,78.0097324133558,102.39566072733,2.5,19812.13339638
2004-01-31,0.53744744109991,75.9132669251778,103.20214842746,2.5,20326.72739638
2004-02-29,1.08608494836444,74.0974359154403,102.564793736592,2.5,20198.06335187
2004-03-31,0.460448535433247,78.6354629791467,101.534891796902,2.5,20503.22293721
2004-04-30,-0.0227700751417853,84.0944721319617,101.951777372552,2.5,20381.11495997
2004-05-31,0.353844717142609,86.5105702285255,101.333848462725,2.5,20492.99588117
2004-06-30,0.563807028141432,83.2874590103565,100.673030115218,2.5,20461.95423108
2004-07-31,0.19310861236674,82.1067513163865,99.7803215188691,2.5,21009.2112152
2004-08-31,-0.0095406379315006,77.5146229152149,98.8490021715802,2.75,21278.09470586
2004-09-30,0.016689712460702,77.4025938277684,98.7203378292074,2.75,21887.02961052
2004-10-31,-0.0237470889112576,79.6324551624725,98.5058870039289,3,23368.53216582
2004-11-30,0.287008149265566,82.7195635167179,99.0894439423534,3,24054.56138416
2004-12-31,-0.0093554202060037,85.6503020745209,99.1036785181531,3,25436.83802038
2005-01-31,0.100149504761279,79.9791610934839,98.7924643530764,3,25516.48839377
2005-02-28,-0.2346203515206,80.1344599066734,99.6960943930773,3,26487.42143132
2005-03-31,0.650196153407443,81.3964129865707,99.1025585497878,3,27469.93771952
2005-04-30,0.118823702025535,87.0734470255749,98.9641448328076,3,27149.34451742
2005-05-31,0.12633045900575,92.1414551036507,98.6642135940511,3,27166.67716159
2005-06-30,0.263742227071237,88.4557729993011,97.5778516248435,3,27777.76979708
2005-07-31,0.104611293091209,87.2766006292957,97.7523663525805,3,28735.19468079
2005-08-31,-0.179605723612108,82.9894831129746,99.5794345378803,3,28212.8508
2005-09-30,-0.0942785605012846,82.0878665294671,102.127938661147,3,28050.92931778
2005-10-31,0.144780473631634,84.8027239326644,104.104651132767,3,28372.68321392
2005-11-30,0.0680447024625712,90.4951176179881,103.363399927543,3,28885.59309108
2005-12-31,0.41922503429934,91.5459266918293,104.73807154872,3.25,30434.42393544
2006-01-31,0.499608846028134,85.6590424919578,104.702389715173,3.5,29013.34621268
2006-02-28,0.548277704216064,84.6285220854951,101.372324118491,3.75,29283.95875871
2006-03-31,0.457162631141614,91.228692840068,102.379428922388,4,29803.02800766
2006-04-30,0.510007190746034,91.7780023638019,102.448932569511,4.25,28368.80450931
2006-05-31,-0.527951846100242,97.7619063414799,102.209083735074,4.5,27892.99912257
2006-06-30,-0.132537237586119,95.072899809632,101.062276457519,4.5,28333.12739281
2006-07-31,-0.17044035636352,92.9616001230902,100.755750195478,4.5,29317.89635836
2006-08-31,0.13934667530607,91.5547627296281,101.056780318966,4.5,29890.27796034
2006-09-30,0.0273681222498222,88.769329600051,101.729978234526,4.5,30099.35601295
2006-10-31,0.0437894195875647,92.1822066698178,101.56605221539,4.5,30282.0767277
2006-11-30,-0.282155165945056,94.7874212319493,102.181128806111,4.5,31878.83562083
2006-12-31,0.0258117661108955,99.4183587606666,102.914674037652,4.5,35918.30419924
2007-01-31,0.0094278706569336,89.9525619891584,102.584377843212,4.5,36894.31061612
2007-02-28,0.25946729961008,88.6681022105583,103.308277869658,4.5,37828.26342434
2007-03-31,0.348835470333003,96.7214346263446,103.36432357934,4.5,38771.84116907
2007-04-30,0.178206800195308,96.6364193147801,104.21671326029,4.5,38240.33187318
2007-05-31,0.491871629879991,104.746678845017,104.677587947249,4.5,38799.16803109
2007-06-30,0.469692062317829,101.254568601752,104.966090303575,4.5,41229.9740832
2007-07-31,0.475545229813074,102.545139242961,105.576638167275,4.75,41755.44513763
2007-08-31,0.136907638047225,100.128668441286,105.51281006131,4.75,41825.18710199
2007-09-30,0.612500624383494,100.240420653565,105.367156871715,5,41743.04486308
2007-10-31,0.314014669403244,103.151330807994,102.744331938057,5,43836.80875237
2007-11-30,0.111007166747877,104.09969689671,103.565853527838,5,46296.90277704
2007-12-31,0.453104937624353,111.854978369874,102.913145893424,5,48644.46614427
2008-01-31,0.222046237637442,98.5124657536872,103.382222915258,5.25,51562.28814183
2008-02-29,0.907018256710701,100.676634145885,103.057001729778,5.25,57593.07366087
2008-03-31,1.04185066180591,104.088023197252,100.384955794807,5.25,60757.59945923
2008-04-30,0.154220132610723,110.247082044334,98.9713372243438,5.5,63288.37597324
2008-05-31,0.369491179954231,112.085329362857,100.457489701277,5.5,64516.37515692
2008-06-30,0.769602394432851,112.179938878858,103.416383301873,5.75,65475.10650714
2008-07-31,0.555471918982357,112.301116383525,102.22495126959,6,64906.15914174
2008-08-31,0.590485120627808,108.889993837837,101.92449367792,6.25,65445.87259465
2008-09-30,0.567201348170299,110.740740648058,102.178989215149,6.5,62560.51994232
2008-10-31,0.613128730631335,111.655298051566,101.226081944004,6.5,60466.83233595
2008-11-30,0.309023518807206,110.667091240658,99.513774976019,6.5,59424.967422
2008-12-31,0.360223443699306,117.475106241632,100.049038644306,6.5,60206.57315736
2009-01-31,0.105779087549192,102.957851981423,101.676214992247,6.5,58217.84386876
2009-02-28,-0.0747867011977923,101.03370671238,103.602773253632,6.25,57628.97075228
2009-03-31,0.360219096293319,107.152725896403,100.856378272032,6,57444.82566318
2009-04-30,0.0190113387638141,108.852131263434,99.4374934764279,5,57312.3553192109
2009-05-31,-0.0430059879071317,114.233023556979,98.2810868285598,4,58062.2666311609
2009-06-30,-0.339576397635527,108.973271232089,99.4910112390306,3,57960.95472599
2009-07-31,0.186688283246876,110.739303018833,100.410458277179,2,60377.01243912
2009-08-31,-0.207404080346908,109.854091268809,99.520390203976,1.25,60017.0726546
2009-09-30,-0.0871865178354843,111.00471639979,98.9526931785389,1.25,59891.465961375
2009-10-31,0.122626055714729,113.066652069327,98.6175006318583,1.25,62440.158050816
2009-11-30,-0.112067511656828,113.616689761738,99.7995952714911,1.25,64278.278580019
2009-12-31,0.317106553518078,122.38467369331,99.3544043750287,1.25,66561.091512088
2010-01-31,0.295916358843193,106.149276387258,98.7183065607253,1.25,67290.179982883
2010-02-28,0.322508087876127,106.181815679423,97.8963135679162,1.25,69463.991027276
2010-03-31,0.280812098247149,115.871466688352,97.4996201331571,1.25,72065.2325967502
2010-04-30,0.0253574343372818,117.530089179309,97.8894151412539,1.25,71502.496614598
