Date,Inflation,Interest,GDP_Growth,Exchange_Rate_Change,Liquidity_Growth
2003-10-31,0.0490321174092103,2.75,0.71322672382097,1.3457974197073064,0.6729048800927728
2003-11-30,0.167684500456277,2.5,-4.800947077521833,0.26547815855648693,1.6760116947773795
2003-12-31,0.563950788732549,2.5,0.7191658817138347,0.2645226460523453,3.5910354316159854
2004-01-31,0.53744744109991,2.5,3.0420759914838946,0.7845334928448189,2.5642092760758572
2004-02-29,1.08608494836444,2.5,1.0792136442328903,-0.6194938044864706,-0.6349914433135595
2004-03-31,0.460448535433247,2.5,1.156024764960062,-1.0092231926234874,1.4995364095236496
2004-04-30,-0.0227700751417853,2.5,0.5929033058649225,0.4097429680347986,-0.5973355401987845
2004-05-31,0.353844717142609,2.5,-0.06828336909867616,-0.6079434396635719,0.5474428596203396
2004-06-30,0.563807028141432,2.5,-0.16742049105626933,-0.6542556464946614,-0.15158927528524657
2004-07-31,0.19310861236674,2.5,0.5092678877445245,-0.8906955068575861,2.63937001711696
2004-08-31,-0.0095406379315006,2.75,0.6375196151434004,-0.9377529509170479,1.2717155116979129
2004-09-30,0.016689712460702,2.75,1.1166004516447892,-0.13024729501207588,2.8216080176720837
2004-10-31,-0.0237470889112576,3.0,-0.15876437149264788,-0.21746693166662112,6.549613195547543
2004-11-30,0.287008149265566,3.0,-0.3921651466365361,0.5906603483206041,2.8934303013011586
2004-12-31,-0.0093554202060037,3.0,1.4558893182889499,0.014364348921436232,5.5873797984205
2005-01-31,0.100149504761279,3.0,0.42628652971297143,-0.31452297868748147,0.3126407788203167
2005-02-28,-0.2346203515206,3.0,1.9881324631729314,0.9105172495500469,3.734511045144373
2005-03-31,0.650196153407443,3.0,-2.75890778550103,-0.5971243749217869,3.642227555156552
2005-04-30,0.118823702025535,3.0,2.5150437416547433,-0.1397647733293539,-1.173932980284853
2005-05-31,0.12633045900575,3.0,1.0200695945969507,-0.30353080035530056,0.06382148111203634
2005-06-30,0.263742227071237,3.0,-0.13869749336699044,-1.1071765531228905,2.2244935326037663
2005-07-31,0.104611293091209,3.0,0.7686207789475041,0.1786869189806417,3.3886613756431316
2005-08-31,-0.179605723612108,3.0,-0.3091553056579599,1.8518255944136364,-1.8345090706251455
2005-09-30,-0.0942785605012846,3.0,0.9819278567491985,2.5270665178781293,-0.5755814092507805
2005-10-31,0.144780473631634,3.0,0.689740838019226,1.9170326186327635,1.1405061440944664
2005-11-30,0.0680447024625712,3.0,2.229379372634188,-0.7145720563127789,1.7916138242831892
2005-12-31,0.41922503429934,3.25,-1.328202911619325,1.3211743358946926,5.2231372204095905
2006-01-31,0.499608846028134,3.5,1.9081629591708449,-0.0340734867340764,-4.781839571568192
2006-02-28,0.548277704216064,3.75,0.38138721316034463,-3.2321825805379234,0.9283945111066672
2006-03-31,0.457162631141614,4.0,1.8488592069137333,0.9885686779270486,1.7570115882817205
2006-04-30,0.510007190746034,4.25,-0.8713759390639453,0.06786525975641666,-4.931989066763975
2006-05-31,-0.527951846100242,4.5,0.1573007687856176,-0.2343899824458262,-1.6914378843679856
2006-06-30,-0.132537237586119,4.5,0.9906689259870483,-1.1283630355971574,1.5655969473439058
2006-07-31,-0.17044035636352,4.5,-0.37179515198690893,-0.3037652313087058,3.416642746924481
2006-08-31,0.13934667530607,4.5,1.8520825217435366,0.298326715374575,1.933514891925192
2006-09-30,0.0273681222498222,4.5,-0.6956926649460904,0.6639490599875231,0.697050091212148
2006-10-31,0.0437894195875647,4.5,1.0710755319219167,-0.16126832806397928,0.6052233748157221
2006-11-30,-0.282155165945056,4.5,0.10087607309170465,0.6037663501449408,5.138631908613256
2006-12-31,0.0258117661108955,4.5,0.9967387987471099,0.715322643607319,11.930470238904434
2007-01-31,0.0094278706569336,4.5,1.6101633974923146,-0.3214579102372994,2.681032348325907
2007-02-28,0.25946729961008,4.5,0.12228942561653966,0.703184877402574,2.4999177554633434
2007-03-31,0.348835470333003,4.5,1.5901414522989654,0.054236227407944426,2.463770721645986
2007-04-30,0.178206800195308,4.5,-0.39907375939050027,0.8212642974379847,-1.3803473247550713
